,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
243,Al-Amin Hossain,2014-03-20,2,Hong Kong,24.0,1.0,25,13,Bangladesh,14-16,5.76
244,Al-Amin Hossain,2014-03-25,1,West Indies,21.0,3.0,24,12,Bangladesh,14-16,5.25
245,Al-Amin Hossain,2014-03-28,2,India,37.0,1.0,25,9,Bangladesh,14-16,8.88
246,Al-Amin Hossain,2014-03-30,1,Pakistan,37.0,1.0,24,7,Bangladesh,14-16,9.25
247,Al-Amin Hossain,2014-04-01,2,Australia,29.0,2.0,22,9,Bangladesh,14-16,7.90909090909
248,Al-Amin Hossain,2015-11-13,1,Zimbabwe,20.0,2.0,24,14,Bangladesh,14-16,5.0
249,Al-Amin Hossain,2015-11-15,2,Zimbabwe,20.0,3.0,24,13,Bangladesh,14-16,5.0
250,Al-Amin Hossain,2016-01-15 00:00:00,1,Zimbabwe,24.0,3.0,24,12,Bangladesh,14-16,6.0
251,Al-Amin Hossain,2016-01-17 00:00:00,2,Zimbabwe,21.0,1.0,18,9,Bangladesh,14-16,7.0
252,Al-Amin Hossain,2016-02-24 00:00:00,1,India,37.0,3.0,24,11,Bangladesh,14-16,9.25
253,Al-Amin Hossain,2016-02-26 00:00:00,2,United Arab Emirates,8.0,1.0,12,9,Bangladesh,14-16,4.0
