batsman_name,runs_batter,balls,wicket,strike_rate,average
Timycen Maruma,20.0,18,1.0,111.111111111,20.0
Tinashe Panyangara,4.0,5,1.0,80.0,4.0
Tinotenda Mutombodzi,14.0,12,1.0,116.666666667,14.0
Tom Cooper,81.0,45,3.0,180.0,27.0
Tom Latham,35.0,31,3.0,112.903225806,11.6666666667
Tom de Grooth,24.0,33,0.0,72.7272727273,inf
Tony Suji,5.0,7,0.0,71.4285714286,inf
Travis Birt,0.0,1,1.0,0.0,0.0
Travis Head,1.0,3,1.0,33.3333333333,1.0
Trent Johnston,114.0,70,3.0,162.857142857,38.0
Tyron Henderson,0.0,2,1.0,0.0,0.0
Tyrone Kane,27.0,19,1.0,142.105263158,27.0
Tyson Gordon,16.0,13,1.0,123.076923077,16.0
Umair Ali,9.0,8,0.0,112.5,inf
Umar Akmal,401.0,251,14.0,159.760956175,28.6428571429
Umar Bhatti,33.0,31,4.0,106.451612903,8.25
Umar Gul,57.0,55,6.0,103.636363636,9.5
Usman Ghani,7.0,10,1.0,70.0,7.0
Usman Mushtaq,24.0,20,0.0,120.0,inf
Vernon Philander,6.0,8,1.0,75.0,6.0
Vikram Solanki,9.0,5,1.0,180.0,9.0
Vikrant Shetty,11.0,14,2.0,78.5714285714,5.5
Vinay Kumar,2.0,4,0.0,50.0,inf
Virat Kohli,90.0,55,5.0,163.636363636,18.0
Vusi Sibanda,15.0,11,2.0,136.363636364,7.5
Wahab Riaz,39.0,29,1.0,134.482758621,39.0
Waqas Khan,8.0,13,1.0,61.5384615385,8.0
Wayne Parnell,51.0,46,2.0,110.869565217,25.5
